suite,instance,seed,num_variables,domain_size,density,strategy,success,status,initial_core_size,final_core_size,expansions,total_time_ns,full_scope_required
structural,d8_c36,49,24,8,1.5,radius1,True,optimal,15,15,0,1271900,False
structural,d8_c36,49,24,8,1.5,explanation,True,optimal,8,8,0,951100,False
structural,d8_c36,49,24,8,1.5,fullscope,True,optimal,24,24,0,5818500,True
structural,d8_c36,50,24,8,1.5,radius1,True,optimal,21,21,0,1357100,False
structural,d8_c36,50,24,8,1.5,explanation,True,optimal,10,10,0,1193400,False
structural,d8_c36,50,24,8,1.5,fullscope,True,optimal,24,24,0,3902900,True
structural,d8_c36,51,24,8,1.5,radius1,True,optimal,20,20,0,1443400,False
structural,d8_c36,51,24,8,1.5,explanation,True,optimal,11,11,0,1308700,False
structural,d8_c36,51,24,8,1.5,fullscope,True,optimal,24,24,0,3549300,True
structural,d8_c48,42,24,8,2.0,radius1,True,optimal,20,20,0,1565800,False
structural,d8_c48,42,24,8,2.0,explanation,True,optimal,7,7,0,1164300,False
structural,d8_c48,42,24,8,2.0,fullscope,True,optimal,24,24,0,4570100,True
structural,d8_c48,43,24,8,2.0,radius1,True,optimal,24,24,0,3699900,True
structural,d8_c48,43,24,8,2.0,explanation,True,optimal,13,13,0,1719400,False
structural,d8_c48,43,24,8,2.0,fullscope,True,optimal,24,24,0,3543800,True
structural,d8_c48,44,24,8,2.0,radius1,True,optimal,22,22,0,1607900,False
structural,d8_c48,44,24,8,2.0,explanation,True,optimal,12,12,0,1375100,False
structural,d8_c48,44,24,8,2.0,fullscope,True,optimal,24,24,0,2190600,True
structural,d8_c48,45,24,8,2.0,radius1,True,optimal,23,23,0,1593200,False
structural,d8_c48,45,24,8,2.0,explanation,True,optimal,13,13,0,1468200,False
structural,d8_c48,45,24,8,2.0,fullscope,True,optimal,24,24,0,4147500,True
structural,d8_c48,46,24,8,2.0,radius1,True,optimal,22,22,0,1748500,False
structural,d8_c48,46,24,8,2.0,explanation,True,optimal,10,10,0,1410000,False
structural,d8_c48,46,24,8,2.0,fullscope,True,optimal,24,24,0,1890700,True
structural,d8_c48,47,24,8,2.0,radius1,True,optimal,22,22,0,1583600,False
structural,d8_c48,47,24,8,2.0,explanation,True,optimal,10,10,0,1294000,False
structural,d8_c48,47,24,8,2.0,fullscope,True,optimal,24,24,0,1873000,True
structural,d8_c48,48,24,8,2.0,radius1,True,optimal,23,23,0,1620300,False
structural,d8_c48,48,24,8,2.0,explanation,True,optimal,11,11,0,1397800,False
structural,d8_c48,48,24,8,2.0,fullscope,True,optimal,24,24,0,4717200,True
structural,d8_c48,49,24,8,2.0,radius1,True,optimal,19,19,0,1515700,False
structural,d8_c48,49,24,8,2.0,explanation,True,optimal,9,9,0,1204200,False
structural,d8_c48,49,24,8,2.0,fullscope,True,optimal,24,24,0,4580700,True
structural,d8_c48,50,24,8,2.0,radius1,True,optimal,22,22,0,1581500,False
structural,d8_c48,50,24,8,2.0,explanation,True,optimal,11,11,0,1322900,False
structural,d8_c48,50,24,8,2.0,fullscope,True,optimal,24,24,0,4719500,True
structural,d8_c48,51,24,8,2.0,radius1,True,optimal,24,24,0,2227100,True
structural,d8_c48,51,24,8,2.0,explanation,True,optimal,14,14,0,1517400,False
structural,d8_c48,51,24,8,2.0,fullscope,True,optimal,24,24,0,2130600,True
structural,d8_c72,42,24,8,3.0,radius1,True,optimal,22,22,0,1957700,False
structural,d8_c72,42,24,8,3.0,explanation,True,optimal,8,8,0,1567500,False
structural,d8_c72,42,24,8,3.0,fullscope,True,optimal,24,24,0,8865200,True
